Name,Debut,Final,Position,Height,Weight,Birthday,School,HOF,Active,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,Player_ID,Image_URL
Jeff Adrien,2011,2015,['Forward'],79,245.0,"February 10, 1986",['UConn'],False,False,153,4.6,4.3,0.7,47.4,0.0,62.8,47.4,15.0,4.4,202399,https://cdn.nba.com/headshots/nba/latest/1040x760/202399.png
Arron Afflalo,2008,2018,"['Guard', 'Forward']",77,210.0,"October 15, 1985",['UCLA'],False,False,762,10.8,2.9,1.8,45.0,38.6,82.5,51.4,11.9,33.5,201167,https://cdn.nba.com/headshots/nba/latest/1040x760/201167.png
Ochai Agbaji,2023,2025,['Guard'],77,215.0,"April 20, 2000",['Kansas'],False,True,201,7.9,2.9,1.2,45.0,35.3,73.4,54.0,9.8,4.5,1630534,https://cdn.nba.com/headshots/nba/latest/1040x760/1630534.png
Maurice Ager,2007,2011,['Guard'],77,202.0,"February 9, 1984",['Michigan State'],False,False,82,2.1,0.6,0.2,33.9,25.0,56.6,36.8,2.8,-0.9,200772,https://cdn.nba.com/headshots/nba/latest/1040x760/200772.png
Mark Aguirre,1982,1994,"['Forward', 'Guard']",78,232.0,"December 10, 1959",['DePaul'],False,False,923,20.0,5.0,3.1,48.4,31.2,74.1,49.8,19.0,67.8,76016,https://cdn.nba.com/headshots/nba/latest/1040x760/76016.png
Blake Ahearn,2008,2012,['Guard'],74,190.0,"May 27, 1984",['Missouri State'],False,False,19,4.6,1.2,1.2,27.3,29.8,97.0,36.4,7.2,-0.2,201336,https://cdn.nba.com/headshots/nba/latest/1040x760/201336.png
Danny Ainge,1982,1995,['Guard'],77,185.0,"March 17, 1959",['BYU'],False,False,1042,11.5,2.7,4.0,46.9,37.8,84.6,51.9,14.7,71.5,76017,https://cdn.nba.com/headshots/nba/latest/1040x760/76017.png
Matt Aitch,1968,1968,['Forward'],79,230.0,"September 21, 1944","['Moberly Area Community College', ' Michigan State']",False,False,45,5.6,3.6,0.4,40.5,0.0,67.5,40.5,12.1,0.5,0,https://cdn.nba.com/headshots/nba/latest/1040x760/0.png
Alexis Ajinça,2009,2017,"['Center', 'Forward']",86,248.0,"May 6, 1988",,False,False,293,5.3,3.9,0.5,50.3,28.6,79.7,50.7,14.9,7.5,201582,https://cdn.nba.com/headshots/nba/latest/1040x760/201582.png
Henry Akin,1967,1969,"['Center', 'Forward']",82,225.0,"July 31, 1944",['Morehead State University'],False,False,88,3.5,2.1,0.5,35.0,0.0,67.6,35.0,7.4,-1.2,76018,https://cdn.nba.com/headshots/nba/latest/1040x760/76018.png
Josh Akognon,2013,2013,['Guard'],71,185.0,"February 10, 1986","['Washington State', ' Cal State Fullerton']",False,False,3,1.7,0.3,0.3,50.0,50.0,,62.5,15.3,0.0,203006,https://cdn.nba.com/headshots/nba/latest/1040x760/203006.png
DeVaughn Akoon-Purcell,2019,2019,['Guard'],78,200.0,"June 5, 1993",['Illinois State'],False,False,7,1.0,0.6,0.9,30.0,0.0,50.0,30.0,8.2,0.0,1629152,https://cdn.nba.com/headshots/nba/latest/1040x760/1629152.png
Solomon Alabi,2011,2012,['Center'],85,251.0,"March 21, 1988",['Florida State'],False,False,26,1.5,2.3,0.2,31.4,,70.0,31.4,10.3,0.0,202374,https://cdn.nba.com/headshots/nba/latest/1040x760/202374.png
Mark Alarie,1987,1991,['Forward'],80,217.0,"December 11, 1963",['Duke'],False,False,325,7.5,3.4,1.1,47.5,25.2,77.5,48.3,13.0,8.4,76019,https://cdn.nba.com/headshots/nba/latest/1040x760/76019.png
Gary Alcorn,1960,1961,['Center'],81,225.0,"October 8, 1936",['Fresno State'],False,False,78,3.3,4.2,0.3,29.3,,59.8,,6.5,-1.3,76020,https://cdn.nba.com/headshots/nba/latest/1040x760/76020.png
Santi Aldama,2022,2025,['Forward'],83,224.0,"January 10, 2001",['Loyola (MD)'],False,True,235,9.8,5.2,1.9,45.9,34.5,69.2,54.6,14.3,12.2,1630583,https://cdn.nba.com/headshots/nba/latest/1040x760/1630583.png
Furkan Aldemir,2015,2015,"['Forward', 'Center']",82,240.0,"August 9, 1991",,False,False,41,2.3,4.3,0.7,51.3,0.0,48.1,51.3,12.0,1.4,203128,https://cdn.nba.com/headshots/nba/latest/1040x760/203128.png
Cole Aldrich,2011,2018,['Center'],83,250.0,"October 31, 1988",['Kansas'],False,False,339,3.1,3.3,0.5,52.7,,73.8,52.7,16.6,9.6,202332,https://cdn.nba.com/headshots/nba/latest/1040x760/202332.png
LaMarcus Aldridge,2007,2022,"['Forward', 'Center']",83,250.0,"July 19, 1985",['Texas'],False,False,1076,19.1,8.1,1.9,49.3,32.0,81.3,49.9,20.7,115.6,200746,https://cdn.nba.com/headshots/nba/latest/1040x760/200746.png
Chuck Aleksinas,1985,1985,['Center'],83,260.0,"February 26, 1959","['Kentucky', ' UConn']",False,False,74,5.1,3.6,0.5,47.8,0.0,73.3,47.8,9.1,0.4,76021,https://cdn.nba.com/headshots/nba/latest/1040x760/76021.png
Cliff Alexander,2016,2016,['Forward'],80,245.0,"November 16, 1995",['Kansas'],False,False,8,1.3,0.8,0.0,50.0,,,50.0,11.6,0.0,1626146,https://cdn.nba.com/headshots/nba/latest/1040x760/1626146.png
Cory Alexander,1996,2005,['Guard'],73,185.0,"June 22, 1973",['Virginia'],False,False,307,5.5,1.6,2.7,38.9,35.4,75.6,46.8,12.4,3.0,724,https://cdn.nba.com/headshots/nba/latest/1040x760/724.png
Courtney Alexander,2001,2003,['Guard'],77,205.0,"April 27, 1977","['Virginia', ' Fresno State']",False,False,187,9.0,2.2,1.2,42.2,33.9,81.3,43.5,11.5,4.1,2042,https://cdn.nba.com/headshots/nba/latest/1040x760/2042.png
Gary Alexander,1994,1994,['Forward'],79,240.0,"November 1, 1969",['South Florida'],False,False,11,1.7,1.4,0.2,57.1,,33.3,57.1,8.6,0.0,76022,https://cdn.nba.com/headshots/nba/latest/1040x760/76022.png
Joe Alexander,2009,2010,['Forward'],80,230.0,"December 26, 1986",['West Virginia'],False,False,67,4.2,1.8,0.7,41.0,34.0,69.8,44.2,9.9,0.5,201570,https://cdn.nba.com/headshots/nba/latest/1040x760/201570.png
Kyle Alexander,2020,2020,['Forward'],83,220.0,"October 21, 1996",['Tennessee'],False,False,2,1.0,1.5,0.0,50.0,,,50.0,4.7,0.0,1629734,https://cdn.nba.com/headshots/nba/latest/1040x760/1629734.png
Trey Alexander,2025,2025,['Guard'],76,185.0,"May 2, 2003",['Creighton'],False,True,24,1.3,0.5,0.5,31.7,17.6,75.0,35.4,2.9,-0.2,1641725,https://cdn.nba.com/headshots/nba/latest/1040x760/1641725.png
Ty-Shon Alexander,2021,2021,['Guard'],75,195.0,"July 16, 1998",['Creighton'],False,True,15,0.6,0.7,0.4,25.0,22.2,50.0,33.3,4.2,0.0,1630234,https://cdn.nba.com/headshots/nba/latest/1040x760/1630234.png
Victor Alexander,1992,2002,"['Center', 'Forward']",81,265.0,"August 31, 1969",['Iowa State'],False,False,286,8.9,4.8,0.9,51.8,28.6,63.4,52.2,13.7,8.8,2349,https://cdn.nba.com/headshots/nba/latest/1040x760/2349.png
Nickeil Alexander-Walker,2020,2025,['Guard'],77,205.0,"September 2, 1998",['Virginia Tech'],False,True,381,8.6,2.5,2.3,41.4,36.0,74.3,51.2,11.2,10.2,1629638,https://cdn.nba.com/headshots/nba/latest/1040x760/1629638.png
Steve Alford,1988,1991,['Guard'],74,183.0,"November 23, 1964",['Indiana'],False,False,169,4.4,0.9,1.0,45.9,32.4,87.0,48.7,14.4,3.2,76024,https://cdn.nba.com/headshots/nba/latest/1040x760/76024.png
Rawle Alkins,2019,2019,['Guard'],77,225.0,"October 29, 1997",['Arizona'],False,True,10,3.7,2.6,1.3,33.3,25.0,66.7,37.2,8.1,-0.1,1628959,https://cdn.nba.com/headshots/nba/latest/1040x760/1628959.png
Bill Allen,1968,1968,"['Center', 'Forward']",80,205.0,,['New Mexico State'],False,False,38,7.9,7.1,0.6,42.9,100.0,58.6,43.2,11.9,0.6,0,https://cdn.nba.com/headshots/nba/latest/1040x760/0.png
Bob Allen,1969,1969,['Forward'],81,205.0,"July 17, 1946",['Marshall'],False,False,27,1.8,2.1,0.4,32.6,,55.6,,6.8,0.1,76028,https://cdn.nba.com/headshots/nba/latest/1040x760/76028.png
Grayson Allen,2019,2025,['Guard'],76,198.0,"October 8, 1995",['Duke'],False,True,403,10.5,3.0,2.0,45.1,41.4,85.7,58.7,12.8,22.6,1628960,https://cdn.nba.com/headshots/nba/latest/1040x760/1628960.png
Jarrett Allen,2018,2025,"['Center', 'Forward']",83,243.0,"April 21, 1998",['Texas'],False,True,568,12.8,9.2,1.7,64.1,16.4,71.2,64.3,20.6,66.7,1628386,https://cdn.nba.com/headshots/nba/latest/1040x760/1628386.png
Jerome Allen,1996,1997,['Guard'],76,184.0,"January 28, 1973",['Penn'],False,False,117,2.9,1.1,1.7,35.0,31.7,63.0,41.1,8.5,0.2,706,https://cdn.nba.com/headshots/nba/latest/1040x760/706.png
Kadeem Allen,2018,2020,['Guard'],73,200.0,"January 15, 1993",['Arizona'],False,False,47,5.5,1.5,2.3,43.5,34.9,75.7,48.8,13.5,1.0,1628443,https://cdn.nba.com/headshots/nba/latest/1040x760/1628443.png
Lavoy Allen,2012,2017,"['Forward', 'Center']",81,260.0,"February 4, 1989",['Temple'],False,False,388,4.8,4.8,1.0,47.1,13.3,68.2,47.2,12.5,13.8,202730,https://cdn.nba.com/headshots/nba/latest/1040x760/202730.png
Lucius Allen,1970,1979,['Guard'],74,175.0,"September 26, 1947",['UCLA'],False,False,702,13.4,3.1,4.5,46.3,,76.0,,15.5,42.0,76027,https://cdn.nba.com/headshots/nba/latest/1040x760/76027.png
Malik Allen,2002,2011,"['Forward', 'Center']",82,255.0,"June 27, 1978",['Villanova'],False,False,478,4.9,2.8,0.5,43.9,18.8,77.8,44.0,9.9,6.6,2124,https://cdn.nba.com/headshots/nba/latest/1040x760/2124.png
Randy Allen,1989,1990,['Forward'],80,220.0,"January 26, 1965",['Florida State'],False,False,70,3.6,2.1,0.3,44.2,0.0,53.3,44.2,8.3,0.2,76025,https://cdn.nba.com/headshots/nba/latest/1040x760/76025.png
Ray Allen,1997,2014,['Guard'],77,205.0,"July 20, 1975",['UConn'],True,False,1300,18.9,4.1,3.4,45.2,40.0,89.4,53.0,18.6,145.1,951,https://cdn.nba.com/headshots/nba/latest/1040x760/951.png
Timmy Allen,2024,2024,['Forward'],78,210.0,"January 9, 2000","['Utah', ' Texas']",False,True,5,2.6,3.4,1.0,26.1,0.0,50.0,26.1,0.8,-0.1,1641851,https://cdn.nba.com/headshots/nba/latest/1040x760/1641851.png
Tony Allen,2005,2018,"['Guard', 'Forward']",76,213.0,"January 11, 1982","['Butler County Community College', ' Oklahoma State']",False,False,820,8.1,3.5,1.3,47.5,28.2,70.9,48.7,14.2,38.7,2754,https://cdn.nba.com/headshots/nba/latest/1040x760/2754.png
Willie Allen,1972,1972,['Forward'],78,230.0,"February 8, 1949",['Miami (FL)'],False,False,7,1.9,2.0,0.6,30.8,,83.3,30.8,5.7,0.0,0,https://cdn.nba.com/headshots/nba/latest/1040x760/0.png
Odis Allison,1972,1972,['Forward'],78,195.0,"October 2, 1949",['UNLV'],False,False,36,1.9,1.3,0.3,21.8,,54.1,,4.7,-0.6,76029,https://cdn.nba.com/headshots/nba/latest/1040x760/76029.png
Lance Allred,2008,2008,['Center'],83,250.0,"February 2, 1981","['Utah', ' Weber State']",False,False,3,1.0,0.3,0.0,25.0,,50.0,25.0,-1.0,0.0,200984,https://cdn.nba.com/headshots/nba/latest/1040x760/200984.png
Darrell Allums,1981,1981,['Forward'],81,220.0,"September 12, 1958",['UCLA'],False,False,22,2.7,3.0,1.1,34.3,0.0,59.1,34.3,5.3,-0.3,76030,https://cdn.nba.com/headshots/nba/latest/1040x760/76030.png
Morris Almond,2008,2012,['Guard'],78,225.0,"February 2, 1985",['Rice University'],False,False,38,3.1,1.2,0.3,38.1,29.2,74.3,41.2,7.0,0.0,201165,https://cdn.nba.com/headshots/nba/latest/1040x760/201165.png
Derrick Alston,1995,1997,['Forward'],83,225.0,"August 20, 1972",['Duquesne'],False,False,139,5.4,3.8,0.7,48.9,14.3,48.7,49.0,11.7,2.6,308,https://cdn.nba.com/headshots/nba/latest/1040x760/308.png
Rafer Alston,2000,2010,['Guard'],74,171.0,"July 24, 1976",['Fresno State'],False,False,671,10.1,2.8,4.8,38.3,35.4,72.9,46.1,13.2,32.9,1747,https://cdn.nba.com/headshots/nba/latest/1040x760/1747.png
Peter Aluma,1999,1999,['Center'],82,260.0,"April 23, 1973",['Liberty'],False,False,2,1.0,1.0,0.0,50.0,,,50.0,3.1,0.0,1824,https://cdn.nba.com/headshots/nba/latest/1040x760/1824.png
Jose Alvarado,2022,2025,['Guard'],72,179.0,"April 12, 1998",['Georgia Tech'],False,True,227,8.2,2.2,3.1,41.1,34.8,75.7,50.3,13.3,7.2,1630631,https://cdn.nba.com/headshots/nba/latest/1040x760/1630631.png
John Amaechi,1996,2003,"['Center', 'Forward']",82,270.0,"November 26, 1970","['Vanderbilt', ' Penn State']",False,False,294,6.2,2.6,0.8,40.3,7.7,67.1,40.3,8.9,0.5,680,https://cdn.nba.com/headshots/nba/latest/1040x760/680.png
Ashraf Amaya,1996,1997,['Forward'],80,230.0,"November 23, 1971",['Southern Illinois'],False,False,85,4.5,4.2,0.4,45.5,50.0,63.3,45.7,11.5,1.9,732,https://cdn.nba.com/headshots/nba/latest/1040x760/732.png
Al-Farouq Aminu,2011,2021,['Forward'],80,220.0,"September 21, 1990",['Wake Forest'],False,False,711,7.5,6.0,1.2,42.0,33.2,74.6,47.8,12.2,27.6,202329,https://cdn.nba.com/headshots/nba/latest/1040x760/202329.png
Lou Amundson,2007,2016,"['Forward', 'Center']",81,220.0,"December 7, 1982",['UNLV'],False,False,428,3.7,3.6,0.4,47.4,0.0,44.4,47.4,12.0,6.9,200811,https://cdn.nba.com/headshots/nba/latest/1040x760/200811.png
Bob Anderegg,1960,1960,"['Forward', 'Guard']",75,200.0,"August 24, 1937",['Michigan State'],False,False,33,4.0,2.1,0.9,38.5,,54.8,,9.3,0.0,76034,https://cdn.nba.com/headshots/nba/latest/1040x760/76034.png
Chris Andersen,2002,2017,"['Center', 'Forward']",82,245.0,"July 7, 1978",['Blinn College'],False,False,695,5.4,5.0,0.5,53.2,22.1,65.4,53.5,16.7,39.7,2365,https://cdn.nba.com/headshots/nba/latest/1040x760/2365.png
David Andersen,2010,2011,['Center'],83,245.0,"June 23, 1980",,False,False,103,4.9,2.8,0.6,44.0,34.7,67.4,47.8,11.7,1.5,2431,https://cdn.nba.com/headshots/nba/latest/1040x760/2431.png
Alan Anderson,2006,2017,"['Guard', 'Forward']",78,220.0,"October 16, 1982",['Michigan State'],False,False,330,7.3,2.2,1.1,40.5,34.4,81.6,48.4,10.3,7.4,101187,https://cdn.nba.com/headshots/nba/latest/1040x760/101187.png
Andy Anderson,1968,1970,['Guard'],74,184.0,"July 6, 1945",['Canisius'],False,False,194,10.7,2.7,1.7,41.0,15.9,75.5,41.3,10.9,3.5,0,https://cdn.nba.com/headshots/nba/latest/1040x760/0.png
Antonio Anderson,2010,2010,['Guard'],78,215.0,"June 5, 1985",['Memphis'],False,False,1,2.0,1.0,0.0,33.3,,,33.3,-1.7,0.0,202079,https://cdn.nba.com/headshots/nba/latest/1040x760/202079.png
Cliff Anderson,1968,1971,"['Guard', 'Forward']",74,200.0,"September 7, 1944","[""Saint Joseph's""]",False,False,84,3.0,1.3,0.9,35.4,,58.5,35.4,10.6,0.3,76035,https://cdn.nba.com/headshots/nba/latest/1040x760/76035.png
Dan Anderson,1968,1969,['Center'],82,230.0,"February 15, 1943",['Augsburg College'],False,False,140,12.2,9.4,1.1,48.1,,72.7,48.1,17.5,10.9,0,https://cdn.nba.com/headshots/nba/latest/1040x760/0.png
Dan Anderson,1975,1976,['Guard'],74,185.0,"January 1, 1951",['USC'],False,False,95,3.7,1.0,1.7,47.2,,84.6,,12.3,1.6,0,https://cdn.nba.com/headshots/nba/latest/1040x760/0.png
Derek Anderson,1998,2008,['Guard'],77,194.0,"July 18, 1974","['Ohio State', ' Kentucky']",False,False,615,12.0,3.2,3.4,40.8,34.1,85.3,46.3,15.3,43.9,1507,https://cdn.nba.com/headshots/nba/latest/1040x760/1507.png
Dwight Anderson,1983,1983,['Guard'],75,185.0,"December 28, 1960","['Kentucky', ' USC']",False,False,5,4.2,0.4,0.6,50.0,,70.0,50.0,10.6,0.0,76037,https://cdn.nba.com/headshots/nba/latest/1040x760/76037.png
Eric Anderson,1993,1994,['Forward'],81,220.0,"May 26, 1970",['Indiana'],False,False,27,1.6,1.1,0.2,34.3,100.0,59.3,37.1,13.1,0.2,944,https://cdn.nba.com/headshots/nba/latest/1040x760/944.png
Greg Anderson,1988,1998,"['Forward', 'Center']",82,230.0,"June 22, 1964",['Houston'],False,False,680,7.3,6.2,0.6,49.2,8.7,55.7,49.2,13.0,18.7,246,https://cdn.nba.com/headshots/nba/latest/1040x760/246.png
J.J. Anderson,1983,1985,['Forward'],80,195.0,"September 23, 1960",['Bradley'],False,False,157,4.8,2.8,0.7,46.5,0.0,55.8,46.5,12.1,2.7,0,https://cdn.nba.com/headshots/nba/latest/1040x760/0.png
James Anderson,2011,2016,"['Guard', 'Forward']",78,213.0,"March 25, 1989",['Oklahoma State'],False,False,247,5.8,2.3,1.2,41.1,32.1,75.5,48.8,9.9,3.3,202341,https://cdn.nba.com/headshots/nba/latest/1040x760/202341.png
Jerome Anderson,1976,1977,['Guard'],77,195.0,"October 9, 1953",['West Virginia'],False,False,49,2.6,0.5,0.3,49.0,,69.4,,11.4,0.4,76040,https://cdn.nba.com/headshots/nba/latest/1040x760/76040.png
Justin Anderson,2016,2022,['Guard'],78,230.0,"November 19, 1993",['Virginia'],False,True,242,5.3,2.6,0.8,41.0,29.2,77.5,48.2,12.4,4.9,1626147,https://cdn.nba.com/headshots/nba/latest/1040x760/1626147.png
Kenny Anderson,1992,2005,['Guard'],73,168.0,"October 9, 1970",['Georgia Tech'],False,False,858,12.6,3.1,6.1,42.1,34.6,79.0,44.9,16.4,62.5,72,https://cdn.nba.com/headshots/nba/latest/1040x760/72.png
Kim Anderson,1979,1979,['Forward'],79,200.0,"May 12, 1955",['Missouri'],False,False,21,3.0,2.1,0.7,31.2,,53.6,,3.0,-0.4,76041,https://cdn.nba.com/headshots/nba/latest/1040x760/76041.png
Kyle Anderson,2015,2025,"['Forward', 'Guard']",81,230.0,"September 20, 1993",['UCLA'],False,True,714,6.8,4.3,2.8,47.8,34.0,71.6,51.4,14.2,39.4,203937,https://cdn.nba.com/headshots/nba/latest/1040x760/203937.png
Michael Anderson,1989,1989,['Guard'],71,184.0,"March 23, 1966",['Drexel'],False,False,36,5.7,2.5,4.3,41.7,14.3,69.5,42.0,10.5,0.2,76042,https://cdn.nba.com/headshots/nba/latest/1040x760/76042.png
Nick Anderson,1990,2002,"['Forward', 'Guard']",78,205.0,"January 20, 1968",['Illinois'],False,False,800,14.4,5.1,2.6,44.6,35.6,66.7,50.0,15.8,55.3,98,https://cdn.nba.com/headshots/nba/latest/1040x760/98.png
Richard Anderson,1983,1990,"['Forward', 'Center']",82,240.0,"November 19, 1960",['UC Santa Barbara'],False,False,407,5.6,3.5,1.5,41.2,33.3,76.2,44.6,12.3,7.6,76045,https://cdn.nba.com/headshots/nba/latest/1040x760/76045.png
Ron Anderson,1985,1994,"['Forward', 'Guard']",79,215.0,"October 15, 1958",['Fresno State'],False,False,664,10.6,3.5,1.4,47.1,28.7,81.4,47.9,14.3,24.2,76046,https://cdn.nba.com/headshots/nba/latest/1040x760/76046.png
Ryan Anderson,2009,2020,['Forward'],81,240.0,"May 6, 1988",['California'],False,False,649,12.3,5.3,0.9,42.2,38.0,85.4,52.3,16.5,46.7,201583,https://cdn.nba.com/headshots/nba/latest/1040x760/201583.png
Shandon Anderson,1997,2006,"['Forward', 'Guard']",78,208.0,"December 31, 1973",['Georgia'],False,False,719,7.4,3.1,1.4,45.7,31.6,73.9,49.2,11.7,23.6,1000,https://cdn.nba.com/headshots/nba/latest/1040x760/1000.png
Willie Anderson,1989,1997,"['Guard', 'Forward']",79,190.0,"January 8, 1967",['Georgia'],False,False,555,12.2,3.8,3.8,47.1,26.6,78.6,47.9,13.8,27.9,335,https://cdn.nba.com/headshots/nba/latest/1040x760/335.png
Wally Anderzunas,1970,1970,"['Center', 'Forward']",79,220.0,"January 11, 1946",['Creighton'],False,False,44,3.6,1.9,0.2,39.2,,63.0,,8.8,-0.2,76048,https://cdn.nba.com/headshots/nba/latest/1040x760/76048.png
